연번,시군,지정구분,기업명,대표자,소  재  지,주생산품,전화번호(061),"비고
(지정번호)"
1,목포시,기술유망,브로드컴㈜,이봉헌,목포시 석현동 1175(벤처지원 202),정보통신,284-0017,11-1
2,목포시,기술유망,㈜케이에스,김시오,목포시 연산동1236-3,용접철망외,1588-4118,11-2
3,목포시,기술유망,삼진물산(주),김관석,목포시 연산동 1239-1,참치통조림,270-6113,11-3
4,목포시,기술유망,㈜혜성,전재두,목포시 연산동1237-3,가드레일외,1588-2811,11-4
5,목포시,기술유망,(유)한국메이드,이승룡,목포시 연산동 1238-4,선박블록,278-4411,11-5
6,목포시,수출유망,환길산업,박승남,목포시 산정동 1780-1,해초류,272-7147,11-6
7,목포시,수출유망,㈜세광조선,유재억,목포시 연산동 1255,강선건조,277-6111,11-7
8,목포시,수출유망,선일물산,김태한,목포시 연산동 1236-11,조미김,273-6750,11-8
9,목포시,기술유망,(유)메이드거금,이승룡,목포시 연산동 1291(삽진산단),절  단,277-4418,11-9
10,목포시,기술유망,맘키드크래프트,김명효,목포시 석현동 1175(문화지원 302),도자관광상품,287-1155,11-10
11,목포시,기술유망,(유)신안산업개발,문용희,목포시 연산동 1237-10 ,"수문,권양기종",245-5524,11-11
12,목포시,기술유망,(주)젠트정보기술,김광진,목포시 석현동 1175(벤처지원 105),소프트웨어,284-0045,11-12
13,목포시,기술유망,에스엠소프트웨어㈜,박영임,목포시 석현동 1175(벤처지원 204),태양광솔루션,285-3411,11-13
14,목포시,수출유망,㈜맥스코리아,추봉식,목포시 연산동 1247-2,광고물부착방지물,272-5164,11-14
15,목포시,기술유망,(유)한국엔지니어링,김삼성,목포시 연산동 1294(삽진산단),선박엔진부품외,278-6777,11-15
16,목포시,수출유망,㈜대창식품,정현택,목포시 연산동 1236-15,맛김,278-4426,11-16
17,목포시,기술유망,뉴21커뮤니티㈜,박선민,목포시 석현동 1175(문화지원센터 101),"홈페이지용역, 특산품판매(G-market등)",1644-9501,12-1
18,목포시,지역특화,㈜마스타마린조선,이경준,목포시 연산동 1280,보트,273-5778,12-53
19,목포시,기술유망,삼성마리너,김치형,목포시 연산동 1280-9(삽진산단),유압양망기,279-4900,13-1
20,목포시,기술유망,(주)휴먼아이티솔루션,최봉두,목포시 석현동 1175(벤처지원센터),컴퓨터 프로그래밍,287-6633,13-2
21,여수시,수출유망,오천산업㈜,조인순,여수 만흥동 8-4,"수산물
건조가공품",651-9409,11-17
22,여수시,기술유망,㈜대경엠앤아이,김학태,여수 월하동 6-6,"설치용 
금속탱크",686-0700,11-18
23,여수시,기술유망,재원산업㈜,심장섭,여수 낙포동 159-3,유기화학물,690-9222,11-19
24,여수시,기술유망,유한기술㈜,장승혁,여수 중흥동 1480,"증류기,
열교환기",685-7550,11-20
25,여수시,기술유망,㈜에스에프시,"이정석
홍정구",여수 화치동 국가산업단지11-04-0007,계면활성제,692-8300,11-21
26,여수시,수출유망,영신수산㈜,김방심,여수 돌산읍 우두리 755-11,"수산물
냉동가공품",644-3030,11-22
27,여수시,기술유망,㈜피오씨,최병삼,여수 소호동 1198-7,"기술용역,
항만운송",652-6819,11-23
28,여수시,기술유망,㈜한국환경사업단,최영기,여수 월내동 324-4,화학제품,686-7066,11-24
29,여수시,기술유망,화성엔지니어링,김창규,여수 국동 37-144,"선박구성
부분품",642-3530,11-25
30,여수시,지역특화,㈜전라도백서방김치,백봉준,여수 만흥동 8-1,김치가공품,653-8859,11-26
31,여수시,기술유망,삼흥물산,이미경,여수 만흥동 9-1,"해조류
가공품",683-9688,11-27
32,여수시,기술유망,㈜한진산업,곽한용,여수 만흥동 9-9,동물성유지,651-9812,11-28
33,여수시,수출유망,영해산업,박정문,여수 소라면 복산리1050,"해조류
가공품",685-1419,11-29
34,여수시,수출유망,㈜나래식품,김금진,여수 돌산읍 평사리 1363-14,"수산물
가공품",644-8666,11-30
35,여수시,지역특화,우남수산,박석남,여수 만흥동 10-3,수산식품,651-9962,11-31
36,여수시,수출유망,일양화학㈜,정진일,여수 주삼동 569-1,"무기
화학제품",683-2201,11-32
37,여수시,기술유망,㈜국보수산,김갑온,여수 오천동 177-4,"수산물
가공품",654-2556,11-33
38,여수시,지역특화,진남레미콘㈜,장영보,여수 율촌면 취적리 1031,레미콘,686-8000,11-34
39,여수시,기술유망,㈜드림라임,김창경,여수 율촌면 봉전리 816-2,화합물,685-9041,11-35
40,여수시,기술유망,㈜오남환경산업,왕승호,여수시 화장동 성산2길 4,"환경오염
방지시설",683-1263,11-36
41,여수시,기술유망,서경카로라이즈공업㈜,이기흥,여수 율촌면 조화리 553-8,"공업용
보온제",685-7311,11-37
42,여수시,기술유망,그린철강산업㈜,정은숙,여수 월하동 751,"세라믹,
철물제조",685-5141,11-38
43,여수시,기술유망,㈜와이엔텍,이성현,여수 월내동 252,"레미콘, 
폐기물처리",690-6938,11-39
44,여수시,기술유망,㈜코스코,최종규,여수시 화장동 788-6 2층,"어장정화
준설처리",686-1301,11-40
45,여수시,기술유망,포에스엔지니어링㈜,정정자,여수 중흥동 1671,제어반,686-3305,11-42
46,여수시,기술유망,㈜두루,박옥자,여수 오천동 177-3,"유가공,
식료가공품",651-5181,11-43
47,여수시,기술유망,㈜이엔플러스,정선국,여수 학동 190-12,"오염토양
복원",684-5900,11-45
48,여수시,기술유망,㈜새길아스콘,김영수,여수 월내동 271,아스콘,685-1158,11-46
49,여수시,수출유망,해청식품㈜,김유성,여수 만흥동 7,"수산물건조
가공품",651-6652,11-47
50,여수시,기술유망,㈜와이씨씨,조순걸,여수시 화치동 중소기업단지 011-01-0012구역,기초무기화합물,691-6881,12-2
51,여수시,지역특화,주식회사 엠에스,고용배,여수시 화양면 화동리 2137,폴리에틸렌관,692-3565,13-3
52,여수시,기술유망,㈜코인즈,최명환,여수시 화치동 중소기업단지 11-2-3,배관클리닝용역,684-6862,13-4
53,여수시,기술유망,㈜동부이엔지,정성언,여수시 상암동 500,철구조물,685-8552,13-5
54,여수시,수출유망,알메탈㈜,송중근,여수시 화양면 화양로 1121-25,Header Pipe,685-8331,13-6
55,여수시,수출유망,㈜보양,조규진,여수시 율촌면 여순로 607-12,농수산물가공,682-9661,13-7
56,순천시,기술유망,㈜파루,강문식,순천시 서면 선평리 42-2,태양광설비지지대,759-5159,11-48
57,순천시,수출유망,㈜한국카라겐,김진선,순천시 서면 산단4길 90,카라기난류,755-9455,11-49
58,순천시,기술유망,㈜스트롱케미칼,김종원,순천시 주암면 주석로 276-33,"PE이중벽,다중벽하수관,PE수도관,연결이음관",755-9300,11-50
59,순천시,기술유망,제일콘크리트,방지원,순천시 서면 매천로 372,"벤치플륨,맨홀,콘크리트뚜껑",755-6788,11-52
60,순천시,지역특화,매일식품㈜,오무,순천시 서면 선평리 292,"간장, 고추장, 된장",752-3331,11-53
61,순천시,기술유망,삼원기업㈜,김윤중,순천시 조례동 1791번지,레미콘,724-3183,11-54
62,순천시,기술유망,㈜삼화기업,류승원,순천시 서면 구상 245,기와경계석,755-6848,11-55
63,순천시,기술유망,㈜태성계전,차영두,순천시 해룡면 월전리 37-3,"고압판넬,전파접촉기",724-3838,11-56
64,순천시,기술유망,㈜썬테크,이선휴,순천시 조례동 758-31,"발전기, 배전반",723-7272,11-57
65,순천시,수출유망,㈜신안그린테크,장승호,순천시 인월동 58-24,농업용 보일러,744-4111,11-58
66,순천시,기술유망,㈜동영산업,조현식,순천시 서면 압곡리 827-4,방화문,755-9070,11-59
67,순천시,수출유망,㈜신성메이저글러브,강영춘,순천시 서면 압곡리 827-6,산업용안전장갑,752-1027,11-60
68,순천시,수출유망,태광메디팜㈜,장철우,순천시 별량면 녹색로 458,"가정용 살충제, 비료",742-0941,11-61
69,순천시,수출유망,현대엔테크,오병래,순천시 별량면 송산길 1,"선박용엔진, 발전기",724-8757,11-62
70,순천시,기술유망,일성레미콘㈜,장영철,순천시 서면 판교리 213-1,레미콘,755-8000,11-63
71,순천시,기술유망,국제방수레미칼,엄점동,순천시 별량면,친환경방수자재,744-4411,11-64
72,순천시,기술유망,㈜현대콘트롤전기,김민성,순천시 해룡면 신대리 368-1,수배전반,724-2226,11-65
73,순천시,기술유망,성창중공업,김기영,순천시 서면 지본리 851-1,"산업플랜트 기계설비, 철강구조물",755-5421,11-67
74,순천시,기술유망,㈜DS ENG,김영철,순천시 해룡면 호두리 율촌제1지방산단 6블록,STS 원통형 물탱크,727-0224,11-68
75,순천시,기술유망,㈜디에스리퀴드,윤수현,순천시 해룡면  호두리 율촌제1지방산단 6블록,"F.M.A, 도가니",724-3441,11-69
76,순천시,지역특화,미가식품영농조합법인,문지은,순천시 별량면 덕정길 96번지,"함초, 소금, 울금",744-6484,11-71
77,순천시,기술유망,㈜다목생태기술,이준길,순천시 주암면 주암호길 62-72,친환경 해충포획기,753-2672,11-72
78,순천시,수출유망,한국신광마이크로애랙트로닉스,TAMAI MASAHIKO,순천시 서면 선평리 35,전자부품 제조업,753-8801,11-73
79,순천시,기술유망,㈜일품원,정삼근,순천시 서면 구만리 677-6,축산물가공품,745-4015,11-74
80,순천시,기술유망,비피시㈜,정현명,순천시 해룡면 호두리 율촌제1산업단지 6블록,볼트 및 기계가공업,727-6080,11-110
81,순천시,기술유망,라인호㈜,신라이히라이너,순천시 해룡면 호두리 6블록,"트랜스포터, 로그아웃시스템",750-8800,12-3
82,순천시,기술유망,㈜한성스틸,이종순,순천시 별량면 우산리 291-1,"연료기기, 부자재, 베이스판",743-1145,12-4
83,순천시,기술유망,㈜강동레미콘,김병선,순천시 해룡면 여순로 1377,레미콘,724-9300,12-5
84,순천시,기술유망,㈜유비테크,최태원,순천시 야흥동 266-2번지,"태양광추적장치, 태양광발전설비",751-7637,12-6
85,순천시,기술유망,한성철망공업사,김미자,순천시 해룡면 호두구상길 11,"용접철망, 개비온, 메쉬휀스",724-7484,12-7
86,순천시,기술유망,한성철강,이종순,순천시 풍덕동 1291-3,"건축부자재, 철강",743-1135,12-8
87,순천시,기술유망,㈜삼미금속,남백원,순천시 서면 압곡리 608-2,"레이저가공, 스텐,파이프",751-3233,12-9
